symbol,asset_class,freq_label,signal_time,entry_time,exit_time,direction,streak_len,amplitude,raw_weight,trade_return,scaled_weight,gross_leverage,pnl,signed_return,holding_days
现货结算价:LME铜,COMMO,W,2015-01-30,2015-02-06,2015-02-20,1,8,-0.1565157435072397,0.35,0.0366939146230698,0.35,0.35,0.0126678701180744,0.0366939146230698,14
伦敦金现,COMMO,W,2015-08-07,2015-08-14,2015-08-28,1,7,-0.0692742374727667,0.2078227124183002,0.0360539117076914,0.2078227124183002,0.2078227124183002,0.0073889103681731,0.0360539117076914,14
ICE布油,COMMO,W,2015-08-14,2015-08-21,2015-09-04,1,7,-0.2105581301632078,0.35,0.0127616130678915,0.35,0.35,0.004291564573762,0.0127616130678915,14
ICE布油,COMMO,W,2015-08-21,2015-08-28,2015-09-11,1,8,-0.2645577271811404,0.35,0.0638356164383562,0.35,0.35,0.0221674657534246,0.0638356164383562,14
恒生地产分类指数,EQUITY,W,2015-09-04,2015-09-11,2015-09-25,1,7,-0.1759736351129185,0.4,0.0514710892609691,0.4,0.8,0.0203884357043876,0.0514710892609691,14
恒生指数,EQUITY,W,2015-09-04,2015-09-11,2015-09-25,1,7,-0.1706388480654045,0.4,0.0165882860434507,0.4,0.8,0.0064353144173803,0.0165882860434507,14
现货结算价:LME铜,COMMO,Q,2015-09-30,2015-12-31,2016-06-30,1,5,-0.2439133016627078,0.35,-0.0522285489888081,0.35,0.35,-0.0184549921460828,-0.0522285489888081,182
伦敦金现,COMMO,Q,2015-12-31,2016-03-31,2016-09-30,1,6,-0.1218769396284189,0.35,0.240340030911901,0.35,0.7,0.0839440108191653,0.240340030911901,183
现货结算价:LME铜,COMMO,Q,2015-12-31,2016-03-31,2016-09-30,1,6,-0.3019596199524941,0.35,0.0276478094427903,0.35,0.7,0.0095017333049766,0.0276478094427903,183
伦敦金现,COMMO,W,2016-12-23,2016-12-30,2017-01-13,1,7,-0.0762774704008214,0.2288324112024643,0.0559270302217678,0.2288324112024643,0.2288324112024643,0.0126835009714389,0.0559270302217678,14
煤炭,COMMO,W,2018-04-20,2018-04-27,2018-05-11,1,7,-0.1267787839586028,0.35,0.0222222222222221,0.35,0.35,0.0076027777777777,0.0222222222222221,14
中信风格指数:周期,EQUITY,M,2018-05-31,2018-06-29,2018-08-31,1,8,-0.1436355546085552,0.4,-0.1396342001204633,0.4,0.4,-0.0560536800481853,-0.1396342001204633,63
中信风格指数:稳定,EQUITY,W,2018-07-06,2018-07-13,2018-07-27,1,7,-0.118322717668533,0.4,0.081844141079201,0.3333333333333333,1.0,0.027114713693067,0.081844141079201,14
中证全指,EQUITY,W,2018-07-06,2018-07-13,2018-07-27,1,7,-0.1425624177857912,0.4,0.04744959081236,0.3333333333333333,1.0,0.01564986360412,0.04744959081236,14
中证红利,EQUITY,W,2018-07-06,2018-07-13,2018-07-27,1,7,-0.1178763364078586,0.4,0.0463724943211254,0.3333333333333333,1.0,0.0152908314403751,0.0463724943211254,14
中信风格指数:周期,EQUITY,M,2018-06-29,2018-07-31,2018-09-28,1,9,-0.2091727359672216,0.4,-0.0576510335079065,0.4,0.4,-0.0232604134031626,-0.0576510335079065,59
伦敦银现,COMMO,W,2018-07-27,2018-08-03,2018-08-17,1,7,-0.0642329579852282,0.1926988739556846,-0.0434107524099113,0.1926988739556846,0.5460905083479591,-0.0084615525439367,-0.0434107524099113,14
恒生综合行业指数-资讯科技业,EQUITY,W,2018-07-27,2018-08-03,2018-08-17,1,7,-0.0883479085980686,0.3533916343922745,-0.1083183298054594,0.3533916343922745,0.5460905083479591,-0.0384554874217888,-0.1083183298054594,14
伦敦银现,COMMO,W,2018-08-03,2018-08-10,2018-08-24,1,8,-0.0689550793074222,0.2068652379222668,-0.0384290265947069,0.2068652379222668,0.6068652379222669,-0.0080530623485963,-0.0384290265947069,14
恒生综合行业指数-资讯科技业,EQUITY,W,2018-08-03,2018-08-10,2018-08-24,1,8,-0.1497628870885149,0.4,0.0019488504038034,0.4,0.6068652379222669,0.0005795401615213,0.0019488504038034,14
伦敦银现,COMMO,W,2018-08-10,2018-08-17,2018-08-31,1,9,-0.0744642208499818,0.2233926625499455,-0.0498430141287283,0.2233926625499455,0.2233926625499455,-0.0112462599670061,-0.0498430141287283,14
伦敦银现,COMMO,W,2018-08-17,2018-08-24,2018-09-07,1,10,-0.1048553093594867,0.3145659280784602,-0.0440957662653861,0.3145659280784602,0.3145659280784602,-0.0140283086036412,-0.0440957662653861,14
万得科技大类指数,EQUITY,M,2018-07-31,2018-08-31,2018-10-31,1,8,-0.1375386552598928,0.4,-0.171517213985894,0.4,0.4,-0.0688068855943576,-0.171517213985894,61
万得科技大类指数,EQUITY,M,2018-08-31,2018-09-28,2018-11-30,1,9,-0.1758976353165565,0.4,-0.0660876924920604,0.4,0.4,-0.0266350769968241,-0.0660876924920604,63
万得科技大类指数,EQUITY,M,2018-09-28,2018-10-31,2018-12-31,1,10,-0.1890172768179545,0.4,-0.0835588131200695,0.4,0.4,-0.0336235252480278,-0.0835588131200695,61
ICE布油,COMMO,W,2018-11-23,2018-11-30,2018-12-14,1,7,-0.2657262676324818,0.35,0.0192107995846311,0.35,0.75,0.0065487798546208,0.0192107995846311,14
万得科技大类指数,EQUITY,M,2018-10-31,2018-11-30,2019-01-31,1,11,-0.2854656222802437,0.4,0.0628406803673085,0.4,0.75,0.0249362721469234,0.0628406803673085,62
ICE布油,COMMO,W,2018-11-30,2018-12-07,2018-12-21,1,8,-0.2659168890583302,0.35,-0.0916645027265644,0.35,0.35,-0.0322575759542975,-0.0916645027265644,14
中信风格指数:周期,EQUITY,Q,2018-12-31,2019-03-29,2019-09-30,1,5,-0.3298591774257952,0.4,0.1289055471492477,0.2,1.0,0.0256811094298495,0.1289055471492477,185
中信风格指数:成长,EQUITY,Q,2018-12-31,2019-03-29,2019-09-30,1,5,-0.3550797501680512,0.4,0.2918955214613521,0.2,1.0,0.0582791042922704,0.2918955214613521,185
中证全指,EQUITY,Q,2018-12-31,2019-03-29,2019-09-30,1,5,-0.2993569985098695,0.4,0.2278360787558486,0.2,1.0,0.0454672157511697,0.2278360787558486,185
申万中盘指数,EQUITY,Q,2018-12-31,2019-03-29,2019-09-30,1,5,-0.3240094294575045,0.4,0.2359226405133505,0.2,1.0,0.0470845281026701,0.2359226405133505,185
申万小盘指数,EQUITY,Q,2018-12-31,2019-03-29,2019-09-30,1,5,-0.352922630548567,0.4,0.1747637060374711,0.2,1.0,0.0348527412074942,0.1747637060374711,185
现货结算价:LME铜,COMMO,W,2019-05-31,2019-06-07,2019-06-21,1,7,-0.1035204714640198,0.3105614143920596,0.0277657642072486,0.3105614143920596,0.3105614143920596,0.0084676942966835,0.0277657642072486,14
现货结算价:LME铜,COMMO,W,2019-06-07,2019-06-14,2019-06-28,1,8,-0.1051488833746898,0.3154466501240696,0.0350086655112651,0.3154466501240696,0.3154466501240696,0.0108856429357806,0.0350086655112651,14
中信风格指数:成长,EQUITY,W,2022-04-15,2022-04-22,2022-05-06,1,7,-0.1600652979331823,0.4,-0.0707609469307615,0.4,0.4,-0.0285043787723046,-0.0707609469307615,14
中信风格指数:成长,EQUITY,W,2022-04-22,2022-04-29,2022-05-13,1,8,-0.2059890181249554,0.4,0.0348803770976089,0.4,0.4,0.0137521508390435,0.0348803770976089,14
中信风格指数:成长,EQUITY,W,2022-04-29,2022-05-06,2022-05-20,1,9,-0.2079287297822176,0.4,0.0795313420987662,0.4,0.4,0.0316125368395064,0.0795313420987662,14
中信风格指数:成长,EQUITY,W,2022-05-06,2022-05-13,2022-05-27,1,10,-0.2194998728114373,0.4,0.0709415446028836,0.4,0.4,0.0281766178411534,0.0709415446028836,14
标普500,EQUITY,W,2022-05-20,2022-05-27,2022-06-10,1,7,-0.1307672426853938,0.4,-0.0001281604363606,0.4,0.4,-0.0002512641745442,-0.0001281604363606,14
恒生综合行业指数-资讯科技业,EQUITY,Q,2022-03-31,2022-06-30,2022-12-30,1,5,-0.4339142229340826,0.4,-0.1016334841056728,0.4,0.4,-0.0408533936422691,-0.1016334841056728,183
伦敦银现,COMMO,W,2022-07-15,2022-07-22,2022-08-05,1,7,-0.1476157882728724,0.35,0.064561027837259,0.35,0.35,0.0224213597430406,0.064561027837259,14
伦敦银现,COMMO,W,2022-07-22,2022-07-29,2022-08-12,1,8,-0.15295459730778,0.35,0.1197543500511775,0.35,0.35,0.0417390225179121,0.1197543500511775,14
万得科技大类指数,EQUITY,W,2022-09-30,2022-10-07,2022-10-21,1,7,-0.1408068283011576,0.4,0.0006375081644069,0.4,0.4,5.500326576279876e-05,0.0006375081644069,14
美国国债10年期,BOND,W,2022-10-14,2022-10-21,2022-11-04,1,11,-0.0544057007538945,0.326434204523367,-0.0075557758870296,0.326434204523367,0.326434204523367,-0.002629680793501,-0.0075557758870296,14
美国国债10年期,BOND,W,2022-10-21,2022-10-28,2022-11-11,1,12,-0.064004941775952,0.3840296506557124,0.0204795830876858,0.3840296506557124,0.3840296506557124,0.0076727523134107,0.0204795830876858,14
恒生地产分类指数,EQUITY,M,2022-09-30,2022-10-31,2022-12-30,1,8,-0.2418953489068005,0.4,0.14206838295825,0.4,0.4,0.0566273531833,0.14206838295825,60
恒生地产分类指数,EQUITY,M,2022-10-31,2022-11-30,2023-01-31,1,9,-0.3807821135432507,0.4,0.4698553874769375,0.4,0.4,0.187742154990775,0.4698553874769375,62
恒生指数,EQUITY,Q,2022-09-30,2022-12-30,2023-06-30,1,5,-0.2991909874981892,0.4,0.0983345942565769,0.4,0.4,0.0391338377026308,0.0983345942565769,182
恒生综合行业指数-资讯科技业,EQUITY,W,2023-05-19,2023-05-26,2023-06-09,1,7,-0.1257682225794973,0.4,0.0163674666429676,0.4,0.4,0.006346986657187,0.0163674666429676,14
恒生综合行业指数-资讯科技业,EQUITY,W,2023-05-26,2023-06-02,2023-06-16,1,8,-0.1554482552816543,0.4,0.1355423859398961,0.4,0.4,0.0540169543759584,0.1355423859398961,14
ICE布油,COMMO,W,2023-12-08,2023-12-15,2023-12-29,1,7,-0.1507109004739336,0.35,0.0170599489795919,0.35,0.35,0.0057959821428571,0.0170599489795919,14
期货收盘价(连续):CBOT大豆,COMMO,W,2024-02-02,2024-02-09,2024-02-23,1,7,-0.085802231627549,0.2574066948826472,-0.0439814814814814,0.2574066948826472,0.2574066948826472,-0.0114498311316318,-0.0439814814814814,14
期货收盘价(连续):CBOT大豆,COMMO,W,2024-02-09,2024-02-16,2024-03-01,1,8,-0.0883031935359753,0.2649095806079261,-0.0356615319687697,0.2649095806079261,0.2649095806079261,-0.0095795362679869,-0.0356615319687697,14
期货收盘价(连续):CBOT大豆,COMMO,W,2024-02-16,2024-02-23,2024-03-08,1,9,-0.0969603693728357,0.2908811081185071,-0.0127822752449935,0.2908811081185071,0.2908811081185071,-0.0038635629415987,-0.0127822752449935,14
期货收盘价(连续):CBOT大豆,COMMO,W,2024-02-23,2024-03-01,2024-03-15,1,10,-0.1260100038476337,0.35,0.0552498349108518,0.35,0.35,0.0191624422187981,0.0552498349108518,14
恒生医疗保健指数,EQUITY,Q,2024-03-28,2024-06-28,2024-12-31,1,5,-0.350327920497179,0.4,0.0284113451416376,0.4,0.8,0.011164538056655,0.0284113451416376,186
恒生地产分类指数,EQUITY,Q,2024-03-28,2024-06-28,2024-12-31,1,5,-0.3776360446018426,0.4,-0.0391816022874726,0.4,0.8,-0.015872640914989,-0.0391816022874726,186
中信风格指数:消费,EQUITY,W,2024-06-28,2024-07-05,2024-07-19,1,7,-0.1305667372291368,0.4,0.0106658194367712,0.4,0.7478929038760992,0.0040663277747085,0.0106658194367712,14
中证全指,EQUITY,W,2024-06-28,2024-07-05,2024-07-19,1,7,-0.0869732259690247,0.3478929038760991,0.0006831733899015,0.3478929038760991,0.7478929038760992,6.37247225256746e-05,0.0006831733899015,14
中信风格指数:消费,EQUITY,W,2024-07-05,2024-07-12,2024-07-26,1,8,-0.1377646269129017,0.4,-0.0212687734332083,0.4,0.9968528967574708,-0.0087075093732833,-0.0212687734332083,14
中信风格指数:金融,EQUITY,W,2024-07-05,2024-07-12,2024-07-26,1,7,-0.0508202988434205,0.2032811953736821,0.0216274255594077,0.2032811953736821,0.9968528967574708,0.0042948083228848,0.0216274255594077,14
